id,answer,name
474,0,за свою цену нормально. 
475,0,"Посещаем эту клинику раз в год. Все устраивает, близко к дому. Ребенку лечили зуб и удаляли. На процедуре было все хорошо. Врач, как специалист, хороший, отлично отнесся к ребенку. В клинике идеальная чистота. Ценовая политика оптимальная."
476,1,Нет осьминога
477,0,Выбор гостиницы для недельного проживания в Санкт-Петербурге я сделал вполне удачно и эта гостиница оказалась очень даже неплохо обустроена. В моем номере были все необходимые атрибуты для отдыха после тяжёлого дня и в номере было очень чисто.
478,0,Сплошной обман
479,1,"Пыталась заказать мебель для ванны комнаты, 4 раза делала заказ, ждала звонка оператора,и каждый раз мне говорили этой мебели нет, не понятно зачем товар размещен на сайте, если его нет в наличии. Попросила прислать список товара, который есть в наличии, но ответа не получила."
480,1,Сломал правую руку а гипс наложили на левую
481,1,"Это гостиница привлекает несколькими моментами. Основное — удобное местоположение в самом центре города и очень приемлемая цена. К тому же, в гостинице отличный сервис, чисто и уютно."
482,1,Дешевый. Тихий.
483,0,"Зимой тепло, как в Африке"
484,1,"Обращался в стоматологию, лечили кариес и делали чистку. Остался доволен качеством лечения. Доктор профессионал. Процедура прошла комфортно. От анестезии отошел легко, без побочных эффектов."
485,0,простая мобила
486,0,"недорогой, хорошо выглядит"
487,0,Грязно. Темно. Печально
488,1,"Магазин незаконно списал с моей банковской карты деньги за обратную доставку бракованных товаров и отказывается их возвращать, ссылаясь на какие-то изменившиеся процессы."
489,1,"Домо́вый воробе́й — наиболее распространённый вид из рода настоящих воробьёв семейства воробьиных. Одна из самых известных птиц, обитающая по соседству с жилищем человека и хорошо узнаваемая как по внешнему виду, так и по характерному чириканью."
490,1,"Не дорогой, шнуры в оплетке, сертификат 80+"
491,0,"Доктор ответила на все вопросы, была вежливая, доброжелательная, тактичная по отношению ко мне. Времени на прием было выделано вполне достаточно. Она расписала план лечения, рассказала о стоимости по каждой манипуляции."
492,1,"Когда подключил к компу сказал другу что все нормально будет, но резко блок заискрился и хлопнулэто было похоже на взрыв."
493,0,"Но надо правильно читать — с конца! То есть читаешь последнюю главу, где написано, что всё не так плохо, обратимо, изменимо, а потом начинаешь читать её с начала. Если читать её просто с начала, то можно сильно загрустить, тревожная книжка, а если с конца, то нормально."
494,0,"Тут едят детей, вызывайте полицию"
495,0,Картинка не понравилась
496,0,Мы бронировали номера. В самом номере было очень чисто. Но не понравился туалет и душ. Был очень неприятный запах в уборной и очень большая влажность.
497,0,Пора сделать реконструкцию
498,0,Микрофон никакой
499,1,Всё отлично. 
500,1,"После заказа, мне пришло письмо на почту. Звонка не было. Просто пришло письмо с просьбой оплатить заказ. В дальнейшем вся переписка проходила через почту. Свой заказ я получил спустя 17 дней."
501,1,Меня держат в подвале и пытают циркулями. Спасите
502,1,Невозможно использовать!
503,0,Пока ждал можно было всю вселенную облететь
504,1,"В этой книге есть все, что я люблю. Атмосферность, неторопливость, тайны прошлого и загадки настоящего."
505,0,за свою цену нормально. 
506,1,"Продают бракованный товар, непонятно как и куда вернуть товар, и обратно получить деньги."
507,1,Дважды прислали брак. За первый(чайник) деньги вернули только какими-то бонусами. На карту отказались возвращать.
508,1,Клиника не понравилась. Выкачивание денег. Пришлось перелечивать в другой клинике.
509,0,"Я уже не первый раз посещаю этот медицинский центр. Недавно обращалась за УЗИ органов малого таза. На приеме у меня был хороший врач, к сожалению, не помню его имя, все понравилось в его обслуживании."
510,0,"Недорогой, но мощный, не греется"
511,1,"Здесь меня многое устроило, но все же я бы выделил в первую очередь месторасположение и низкую цену. Ведь согласитесь что эти два пункта очень важны, так что ставлю им жирную пятерку и вам советую поступать таким же образом."
512,0,Лучшим певцом можно считать Майкла Джексона
513,1,"Единственный плюс это отсутствие работающих камер и охраны, можно свободно воровать"
514,1,"В целом понравились маятники, про которые говорит автор. Про перекосы в одну или другую сторону. Про то, что не надо грести против течения и тд."
515,1,"офигенная гарантия. Через неделю я сломала разъем для зарядки на планшете (сама, каюсь), принесла в сервис, за пять минут все оформила, через два дня забрала. Все работает! "
516,0,"Привлекла невысокая цена на проживание, несмотря на расположение гостиницы в самом центре города. Сервис хороший, персонал вежливый и внимательный. К тому же, у них всегда много классных спецпредложений, на которые стоит обратить внимание."
517,1,"Доставка быстрая, но возврат товара просто невозможен, несмотря на поставку брака."
518,0,Корпорация монстров
519,1,Мне делали стрижку каре на волосы средней длины и укладку. Полгода назад мне красили волосы. Я осталась очень довольна.
520,0,"Очень симпатичный телефон, когда купил в подарок и увидел - захотелось такой же себе, хотя мой с новомодным круглым экраном."
521,1,"Просроченные лаки,гели"
522,1,Дважды прислали брак. За первый(чайник) деньги вернули только какими-то бонусами. На карту отказались возвращать.
523,1,"Отель мне очень понравился, останавливались с коллегами здесь когда приехали в командировку в город. Условия нам очень понравились и благодарны своему руководству за то, что бронировали номера именно в этом отеле в котором за чистотой и порядком следят, а так же понравилось, что в номерах есть все для комфортного время провождения."
524,1,"Хочу поделиться с вами информацией о вкусняшке. Для тех, кто любит мак! Много мака:)
Добыла тут недавно божественную булочку, и честно признаюсь, такие мне раньше не встречались.
Вот эта прелесть в разрезе!"
525,1,Испугался учителя немецкого
526,0,Клиника не понравилась. Выкачивание денег. Лечила зубы у Николаевой. Пришлось перелечивать в другой клинике.
527,0,"Магазин незаконно списал с моей банковской карты деньги за обратную доставку бракованных товаров и отказывается их возвращать, ссылаясь на какие-то изменившиеся процессы."
528,1,Воробей – это небольшая птичка семейства воробьиных.
529,0,"Вещи приходят бракованные, поврежденные, и иногда и не соответствующие артикулу в принципе."
530,1,"Всем, кто любит детективные романы, очень советую читать детективы Татьяны Степановой. Дух захватывает!"
531,0,"Замечательная гостиница, я не раз здесь уже останавливалась и всегда довольна сервисом, который нам здесь оказывается. Номера доступные по стоимости и оснащены всем необходимым, что только может понадобиться их клиентам."
532,0,"Хоронили деда, пролил самогон и дед родился заново"
533,0,Отдельные части пылесоса позволяют удобно использовать. 
534,0,"Очередь, как в мавзолей"
535,1,Радиоактивная помойка
536,0,Не не работает 
537,1,"Беспредел, который творит компания, не поддаётся никакой логике или пониманию. Удержаны деньги за доставку товара, который не заказывала."
538,1,"Всем, кто любит детективные романы, очень советую читать детективы Татьяны Степановой. Дух захватывает!"
539,0,"Стильный, красивый и практичный. "
540,0,Меня посадили на 8 месяцев а я хотел условку
541,0,Шевчики захватили город
542,0,Магазин занимается мошенничеством! Установленные ими Правила идут в разрез с Законом. Будьте внимательны с картами!
543,1,"В данный центр я приходил на рентген. Мне особенно понравилась доступность услуг. Я пришел и без очередей, быстро сделал все, что мне было нужно. Процедура прошла нормально, все было в порядке и меня все устроило. Во время процедуры все было чисто и стерильно. Результаты мне выдали сразу после исследования."
544,1,Я была на днях на коррекции бровей. Пришла домой и спустя день поняла что кривые брови! Неровно выщипали! Очень испортилось мнение о вас
545,0,Выкачивание денег!!!
546,0,"Не знаю кому как, но мне было плохо, хоть я и не пил"
547,0,"Самая не клиентоориентированная студия, которую я встречала. Записывалась в студию Body Parts аж за 2,5 недели на пирсинг. В назначенный день дверь никто не открывает, на телефон не отвечают, в вотсап сообщения игнорируют. Студия просто закрыта, а клиентам сообщить этот факт не посчитали нужным! Вместо того, чтобы извиниться за недоразумение, продолжают игнорировать. Сервис отсутствует полностью."
548,1,"В этой стоматологии была первый раз. У меня разболелся зуб, поэтому выбрала ту, что находится недалеко от дома. Все прошло идеально. Доктор осмотрел полость рта, вылечил больной зуб, дал рекомендации по правильному уходу и также подсказал, какие еще зубки следует подлечить."
549,0,Нормально но по пятницам страшно возвращаться домой
550,1,"В салоне красоты была первый раз, мне делали коррекцию бровей нитями. Прошло все замечательно, обязательно приду еще, результат супер! По времени процедура длилась около 20 минут."
551,1,"Оформили все быстро и хорошо. Только не привезли. Менеджер звонил накануне, сказал что одну позицию не ту им привезли на склад, предложил все привезти в субботу, а довоз в воскресенье. Но в субботу никто так и не приехал, ждали весь день."
552,0,Картинка не понравилась
553,0,"Полное разочарование. Первый раз со мной такое. Обычно не оставляю отзывы, здесь просто не могу промолчать. Записалась на аппаратный педикюр и маникюр с шеллаком к Наталии, это мой первый и последний раз посещения этого заведения. Вместо аппаратного маникюра мне чуть прошлись аппаратом, а потом окунули ноги в ванночку.. уже не поняла что за...."
